id	color	no	cname	ename	jname	kana	kname	s_cname	s_ename	area	p_id	p_dis	n_id	n_dis												
trtc-G05		G05	景美	Jingmei	景美	けいび	징메이			台北市文山區	trtc-G04	1.15	trtc-G06	1.07												
trtc-G06		G06	萬隆	Wanlong	万隆	まんりゅう	완룽			台北市文山區	trtc-G05	1.07	trtc-G07	1.56												
trtc-G07		G07	公館	Gongguan	公館	こうかん	궁관	台灣大學	National Taiwan University	台北市中正區	trtc-G06	1.56	trtc-G08	0.90												
trtc-G08		G08	台電大樓	Taipower Building	台湾電力ビル	たいわんでんりょくびる	대만 전력공사 빌딩			台北市中正區	trtc-G07	0.90	trtc-G09	0.64												
trtc-G09		G09	古亭	Guting	古亭	こてい	구팅			台北市中正區	trtc-G08	0.64	trtc-G10	1.17												
trtc-G10		G10	中正紀念堂	Chiang Kai-Shek Memorial Hall	中正紀念堂	ちゅうせいきねんどう	중정 기념당	南門	Nanmen	台北市中正區	trtc-G09	1.17	trtc-G11	0.82												
trtc-G11		G11	小南門	Xiaonanmen	小南門	しょうなんもん	샤오난먼			台北市中正區	trtc-G10	0.82	trtc-G12	0.76												
trtc-G12		G12	西門	Ximen	西門	せいもん	시먼			台北市中正區	trtc-G11	0.76	trtc-G13	0.84												
trtc-G13		G13	北門	Beimen	北門	ほくもん	베이먼	大稻埕南	Dadaocheng South	台北市大同區	trtc-G12	0.84	trtc-G14	1.20												
trtc-G14		G14	中山	Zhongshan	中山	なかやま	중산			台北市中山區	trtc-G13	1.20	trtc-G15	1.32												
trtc-G15		G15	松江南京	Songjiang Nanjing	松江南京	しょうこうなんきん	송장 난징			台北市中山區	trtc-G14	1.32	trtc-G16	1.07												
trtc-G16		G16	南京復興	Nanjing Fuxing	南京復興	なんきんふっこう	난징 푸싱			台北市松山區	trtc-G15	1.07	trtc-G17	1.01												
trtc-G17		G17	台北小巨蛋	Taipei Arena	台北アリーナ	たいぺいありーな	타이베이 아레나			台北市松山區	trtc-G16	1.01	trtc-G18	1.05												
